user_id,username,num_followers,num_following,num_repos,created_at,star_time
712617,interjc,9,16,10,2011-04-06 04:02:00,2016-04-06 01:21:55
5571773,jinxuan,4,4,68,2013-09-29 16:38:38,2016-02-24 01:04:55
58319,xmarcos,63,712,11,2009-02-26 14:23:43,2015-11-03 22:51:47
1143399,elvendor,7,15,14,2011-10-21 10:08:20,2016-02-10 03:11:35
665690,andyyou,54,100,86,2011-03-12 09:00:28,2016-02-29 19:26:26
344378,Kiousis,2,0,8,2010-07-26 06:55:47,2015-12-27 16:09:02
17153525,masaji-sato,0,2,0,2016-02-09 20:54:36,2016-02-21 22:39:54
641885,zyj1022,6,177,159,2011-02-28 02:09:21,2016-02-15 04:16:15
8147202,fengyun2,8,11,40,2014-07-12 21:01:28,2016-04-15 11:57:14
1915268,irazasyed,78,43,26,2012-07-02 13:25:56,2015-12-09 04:29:00
1436074,secicl,9,33,10,2012-02-14 03:49:19,2016-02-23 22:31:26
135060,rcholic,12,28,55,2009-10-04 21:28:59,2016-01-04 10:44:59
12063212,wellyyang,0,0,4,2015-04-22 02:00:37,2015-12-30 00:42:59
5313524,githubUser919,8,3,30,2013-08-26 10:50:13,2016-01-21 17:50:49
79701,rsaladrigas,2,4,18,2009-04-30 15:09:24,2016-01-15 04:56:59
1077520,skyrpex,33,60,83,2011-09-24 21:44:08,2015-12-18 03:04:48
1269894,heskethm,12,5,14,2011-12-17 12:15:49,2016-04-16 11:54:24
195672,archenemy,13,25,16,2010-02-03 09:50:21,2015-10-20 02:30:06
9209527,mazcnkiller,1,6,4,2014-10-14 02:19:16,2015-10-23 22:44:42
1854318,jstnkrr,2,0,3,2012-06-15 10:17:37,2016-04-20 09:12:18
6791298,dmelichar-tgm,7,8,12,2014-02-26 03:04:02,2015-12-25 06:45:40
419048,vrfranco,17,46,2,2010-09-28 06:51:40,2016-03-07 12:28:07
685012,guilhermehn,16,61,32,2011-03-22 18:53:57,2016-01-30 14:42:37
901936,raphaklaus,25,28,65,2011-07-07 20:38:01,2016-02-13 16:23:18
9759260,fnatik,3,11,4,2014-11-14 22:09:09,2015-12-14 07:37:22
6679909,coolskull,3,16,11,2014-02-14 02:31:12,2015-12-25 11:39:01
2962086,lzwaizl,3,7,19,2012-12-04 08:51:49,2016-01-11 22:22:44
1365,charlenopires,200,3759,41,2008-02-27 19:59:40,2015-10-27 11:51:23
9971251,adenj,0,1,28,2014-11-26 21:52:20,2016-04-05 20:44:05
12204752,RomanChesnokov,0,0,1,2015-05-01 19:00:48,2016-02-07 02:51:08
2760420,andrewtweber,10,25,11,2012-11-09 11:53:25,2016-03-27 13:22:13
1952468,laychopy,29,204,58,2012-07-10 15:57:49,2015-10-27 12:53:44
1282808,wayanjimmy,26,104,27,2011-12-23 15:16:49,2015-10-20 22:39:36
3119744,birdkiwi,0,0,17,2012-12-25 01:35:11,2016-03-15 12:51:34
1254915,mojopollo,5,4,3,2011-12-10 21:44:10,2016-04-09 14:30:04
6575500,T-TraX,2,0,3,2014-02-03 09:22:56,2016-02-29 15:47:37
5197254,limatheus,69,240,30,2013-08-09 07:42:58,2015-10-20 12:10:05
2121409,tanxunrong,3,21,16,2012-08-09 00:59:55,2015-12-31 02:51:10
6351754,zackcote,4,4,4,2014-01-08 12:53:27,2016-04-15 17:35:53
3153534,yuuuxt,0,0,2,2012-12-30 08:19:57,2016-03-31 21:22:14
2165223,kdebowski,1,3,5,2012-08-16 14:50:20,2016-02-21 14:34:24
5722120,PiotrKostanski,2,3,2,2013-10-18 17:49:45,2016-02-22 05:09:46
7752475,p1ch-jp,43,95,35,2014-05-31 00:39:59,2016-01-04 04:11:36
7104141,l-ll,8,19,18,2014-03-29 18:57:48,2015-10-19 21:38:12
457793,kadinho,5,9,8,2010-10-28 05:50:28,2016-02-22 08:03:31
11663470,SusanthCom,8,41,0,2015-03-26 06:45:18,2016-02-12 03:13:08
2069567,guaerjia,9,6,11,2012-07-31 02:10:16,2016-04-21 00:53:21
4355220,mlnmln,9,15,2,2013-05-06 09:30:30,2016-02-23 08:11:58
512821,indigofeather,32,65,21,2010-12-07 04:01:07,2015-12-29 21:31:40
2505900,frm-adiputra,5,0,11,2012-10-07 09:46:38,2016-01-16 12:30:12
999232,KennedyTedesco,51,242,12,2011-08-23 10:17:20,2015-12-29 09:46:53
1905823,udbmnm,19,207,181,2012-06-29 06:58:02,2016-03-08 05:00:57
2057060,elaijuh,19,22,25,2012-07-28 10:32:14,2015-11-04 09:06:45
10921445,vevHack,24,328,123,2015-02-09 05:49:31,2015-12-26 10:48:18
2309278,ElementLi,4,5,54,2012-09-08 22:03:40,2016-01-24 09:40:46
3384938,wangmingjob,22,89,296,2013-01-25 15:07:52,2016-04-17 04:43:25
1285555,liuzhengming,10,5,29,2011-12-25 23:04:10,2016-04-22 01:07:30
13294018,gzdaijie,7,14,12,2015-07-11 18:33:03,2016-03-26 04:02:43
893082,karol-f,30,33,68,2011-07-04 03:46:41,2015-10-21 02:47:41
3114495,SASUKE40,9,9,28,2012-12-24 03:12:31,2015-10-29 22:17:53
7755555,jonasvanderhaegen,1,2,7,2014-05-31 12:10:14,2016-03-03 07:53:09
7795038,sharkrice,7,33,5,2014-06-04 09:30:41,2016-01-17 21:27:13
3333944,icechen1,64,50,72,2013-01-21 19:43:33,2016-02-06 19:37:50
14316797,nirousi,7,60,32,2015-09-16 11:46:16,2016-04-20 23:05:02
439822,jeberle,6,0,7,2010-10-14 14:35:18,2016-03-01 18:57:20
2454958,haydenbbickerton,2,1,24,2012-09-29 19:30:16,2016-02-06 14:06:58
9882649,HelKyle,34,17,43,2014-11-21 06:54:39,2016-03-16 05:46:18
4472759,AndyWinarko,5,20,24,2013-05-19 14:19:48,2016-04-20 03:26:22
11814589,chenyiqiao,10,44,10,2015-04-06 02:43:01,2015-11-28 22:34:58
5699722,jonraem,2,3,17,2013-10-16 06:26:59,2016-03-31 10:45:12
89021,songlipeng2003,25,49,37,2009-05-27 01:32:08,2015-12-13 23:07:06
1320903,kirkzwy,2,11,7,2012-01-11 02:14:07,2016-03-20 06:35:38
12213463,gmontalvoriv,24,349,90,2015-05-02 15:03:07,2016-01-29 22:23:14
6284876,wddwycc,25,9,20,2013-12-30 01:54:19,2016-04-18 09:07:53
467356,rdeutz,40,23,45,2010-11-04 08:44:27,2016-04-19 02:32:37
1790973,rollinson9,0,1,7,2012-05-29 18:29:06,2016-01-15 04:45:36
820141,hetz,27,190,24,2011-05-31 02:51:08,2016-01-09 12:28:58
1507322,awu-l,5,7,7,2012-03-06 09:29:49,2016-03-19 11:17:12
8873836,dehboris,2,13,21,2014-09-23 04:27:32,2016-04-16 15:27:49
8022808,jas0ndyq,8,24,23,2014-06-30 00:11:55,2016-02-11 02:22:10
228899,ninjaparade,16,98,20,2010-03-23 13:32:04,2015-10-25 18:40:42
907114,olssonm,13,25,13,2011-07-11 01:19:48,2015-11-05 02:54:58
284535,abueldahab,25,172,572,2010-05-23 00:26:54,2015-10-19 19:53:56
107050,trutch,1,1,19,2009-07-20 16:51:45,2016-02-22 09:04:38
11047662,msalestream,2,8,9,2015-02-17 11:53:32,2016-04-05 10:12:40
1690486,larschinkel,0,0,10,2012-04-29 12:44:55,2016-04-10 15:20:33
2652331,dpismenny,3,0,2,2012-10-25 15:56:13,2016-04-11 03:53:40
4743933,ylxbsoftware,5,20,15,2013-06-19 21:17:02,2016-04-11 07:24:19
4623394,rowej83,1,1,13,2013-06-05 13:06:41,2016-01-15 12:45:38
12440677,supadrupa,0,3,2,2015-05-14 01:18:13,2016-02-02 02:12:31
12073653,antonnt,12,7,0,2015-04-22 14:33:14,2015-12-04 06:16:31
3198439,zhangsoledad,17,77,34,2013-01-06 07:21:30,2016-02-27 15:51:02
960262,hippocampi,1,0,35,2011-08-04 20:13:18,2016-02-09 12:00:08
4671054,92bondstreet,33,25,85,2013-06-11 09:28:42,2016-01-30 03:20:22
4585146,czzhengkw,9,20,2,2013-05-31 23:54:34,2016-03-28 06:51:06
11497762,desmond1121,275,83,25,2015-03-16 02:11:59,2016-04-07 11:20:29
9777733,Cordisys,2,2,2,2014-11-15 20:28:21,2016-02-21 11:07:40
8858750,smartpierre,3,4,4,2014-09-22 03:50:49,2016-01-18 08:09:37
6025028,lewisp6,4,5,4,2013-11-24 13:49:07,2016-01-15 10:22:42
7177369,axjs,6,0,7,2014-04-04 16:37:19,2016-04-21 01:36:51
2073557,cassioscabral,24,93,65,2012-07-31 15:59:42,2016-04-18 13:32:50
1006583,borantula,21,3,20,2011-08-26 08:33:34,2016-04-21 01:58:50
2133311,wspl,17,28,30,2012-08-10 22:13:15,2016-02-14 09:44:10
738697,oniryx,3,15,9,2011-04-19 04:56:43,2016-03-18 07:39:21
5710884,jian-cui,6,14,15,2013-10-17 10:30:18,2016-04-20 23:08:56
3406222,hjxenjoy,12,38,19,2013-01-28 08:40:25,2016-03-07 02:45:04
4136679,yibn2008,8,22,14,2013-04-12 07:21:25,2016-03-12 09:32:59
1933673,itorr,220,22,14,2012-07-06 13:58:18,2016-01-19 01:18:22
1173899,onlyice,20,47,4,2011-11-05 00:35:05,2015-10-29 21:23:25
4414498,okaufmann,8,13,37,2013-05-13 01:50:48,2016-01-05 04:40:59
7447015,1iuh,2,3,10,2014-04-30 01:50:53,2016-04-22 23:08:46
3402837,Leelam,1,5,36,2013-01-28 01:23:42,2016-03-13 13:51:27
7057196,Cleopatro,2,0,6,2014-03-25 05:07:16,2016-03-15 01:59:48
5877145,4148,6060,167976,25,2013-11-07 02:23:07,2015-11-05 05:46:52
891929,mathewsanders,86,15,19,2011-07-03 12:27:01,2016-02-05 20:39:02
6803737,JBoku8,9,22,17,2014-02-27 05:27:05,2015-10-31 15:31:32
2942042,jiusanzhou,2,2,32,2012-12-01 21:37:31,2016-01-12 02:53:28
585402,microcipcip,11,11,13,2011-01-26 16:49:24,2016-03-07 21:08:39
1509413,gokaygurcan,41,37,45,2012-03-06 19:17:02,2016-01-15 04:57:43
13494581,raawak,2,0,0,2015-07-25 03:19:09,2016-03-11 03:01:31
1402931,kailt,10,15,26,2012-02-02 14:18:46,2016-02-24 18:06:55
8936721,vianvio,0,3,9,2014-09-27 02:23:39,2016-04-07 03:21:45
371103,oal,15,6,32,2010-08-20 12:29:01,2016-03-04 16:21:11
1898912,tadev,15,31,14,2012-06-27 09:36:15,2016-03-31 22:08:51
201792,mtdavidson,5,6,55,2010-02-11 08:24:25,2016-03-08 04:48:28
5300184,tutuColife,4,5,8,2013-08-24 03:38:57,2016-01-13 02:27:19
3445700,zhaozhao,15,41,12,2013-02-01 01:05:53,2015-10-20 22:07:31
3974918,kfrederix,2,1,2,2013-03-26 08:12:41,2016-02-13 14:51:54
7565692,QingWei-Li,9,22,14,2014-05-13 00:37:36,2016-04-10 20:04:20
400654,rmaksim,10,6,7,2010-09-15 13:09:28,2015-11-09 19:29:40
4716928,irahulsingh,36,59,73,2013-06-17 04:51:21,2016-01-31 11:56:47
829039,flyer103,72,100,19,2011-06-04 02:33:22,2016-04-17 20:28:18
13655750,Aprilsis,0,2,3,2015-08-05 02:06:50,2016-03-13 03:37:03
10335062,galenyuan,3,9,10,2014-12-28 21:39:19,2016-03-29 20:09:20
7613413,leogouveia,1,0,1,2014-05-17 15:17:27,2015-11-22 11:20:27
6134742,liangbizhi,9,6,11,2013-12-08 05:28:49,2015-12-17 02:31:42
5566507,pwynn,5,11,0,2013-09-28 17:15:51,2016-01-18 09:58:44
79442,bransorem,24,6,41,2009-04-30 00:42:08,2016-01-30 15:25:41
11954930,masterpowers,3,4,147,2015-04-14 23:12:55,2015-11-03 12:26:11
2749447,fangyijoe,1,5,37,2012-11-08 03:50:39,2015-11-16 01:26:23
16428086,SunbayNL,0,0,0,2015-12-24 09:09:29,2016-02-08 03:02:05
1093452,drknro,5,5,5,2011-09-30 13:48:21,2015-11-13 07:01:27
667503,KirillArtemenko,2,3,4,2011-03-13 16:45:50,2016-02-09 09:34:37
227672,ryun,15,6,21,2010-03-22 00:58:31,2015-10-19 21:05:09
9957608,bulatie,6,9,29,2014-11-25 23:20:43,2015-10-19 21:55:39
2500247,Gerhut,42,69,152,2012-10-06 07:50:01,2015-10-19 21:10:22
15126517,luis-conor,1,2,0,2015-10-14 09:40:55,2015-12-29 17:40:12
964311,skyjia,25,43,34,2011-08-07 05:58:30,2015-12-07 09:32:13
8543067,RichardLee1978,8,11,65,2014-08-25 03:06:17,2016-03-08 05:18:14
17375706,Malraoosh,0,2,0,2016-02-21 02:14:41,2016-04-20 04:41:11
